game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_team1
0022300156,1610612740,New Orleans Pelicans,NOP,0,0,-6,-5,-0.03700000000000003,-2,-9,0.04799999999999999,-4,-8,0.128,-3,-4,-7,-13,0,-3,4,2,-36.0,-0.07299999999999995,-0.09999999999999432,-1.7000000000000028,1.6000000000000005,-1.4000000000000021,-0.009000000000000008,0.016000000000000014,0.0020000000000000018,0.0030000000000000027,1.5,1
0022300135,1610612740,New Orleans Pelicans,NOP,0,1,-5,-9,-0.008000000000000007,-6,-10,-0.08300000000000002,-2,-3,0.018000000000000016,-10,-7,-17,-4,5,1,-2,-1,-36.0,0.14999999999999997,0.10000000000000853,-7.099999999999994,7.2,1.0999999999999979,-0.030000000000000027,0.02300000000000002,0.010000000000000009,0.0020000000000000018,-2.299999999999997,1
0022300129,1610612740,New Orleans Pelicans,NOP,1,1,-2,-14,0.05199999999999999,1,-6,0.09599999999999997,12,9,0.1349999999999999,-12,0,-12,-3,1,2,-4,-13,18.0,0.44,7.6000000000000085,-6.700000000000003,14.3,1.0999999999999979,0.0030000000000000027,-0.010000000000000009,0.0050000000000000044,-0.01999999999999999,-2.0,1
0022300121,1610612740,New Orleans Pelicans,NOP,1,0,2,14,-0.03999999999999998,6,8,0.10400000000000001,-6,4,-0.3340000000000001,16,-7,9,0,2,0,-4,-4,10.0,-0.08299999999999996,-2.299999999999997,0.0,-2.3,0.09999999999999787,0.036000000000000004,0.03500000000000003,0.030000000000000027,0.008000000000000007,-1.7999999999999972,1
0022300108,1610612740,New Orleans Pelicans,NOP,0,1,-13,-5,-0.11100000000000004,-5,-2,-0.10999999999999999,3,6,-0.03500000000000003,-7,-18,-25,-5,2,-4,-3,-3,-56.0,0.08199999999999996,0.6000000000000085,-3.4000000000000057,4.0,-0.6000000000000014,-0.028000000000000025,0.009000000000000008,-0.007000000000000006,-0.007000000000000006,-1.5999999999999943,1
0022300090,1610612740,New Orleans Pelicans,NOP,1,1,7,-3,0.09300000000000003,2,-4,0.08400000000000002,-7,-2,-0.34,-12,-4,-16,1,1,2,-5,5,18.0,0.013000000000000012,1.4000000000000057,-1.0999999999999943,2.5,1.6999999999999993,-0.04899999999999999,0.0030000000000000027,-0.018000000000000016,-0.0040000000000000036,2.3000000000000114,1
0022300071,1610612740,New Orleans Pelicans,NOP,1,0,2,-6,0.05299999999999999,2,-11,0.15899999999999997,1,2,-0.027000000000000024,3,12,15,-1,0,-2,8,2,14.0,0.287,10.799999999999997,-2.299999999999997,13.100000000000001,1.3999999999999986,0.017999999999999988,0.02100000000000002,0.03300000000000003,-0.01899999999999999,-0.5,1
0022301060,1610612738,Boston Celtics,BOS,0,0,-6,-10,-0.01100000000000001,-1,-8,0.04799999999999999,12,11,0.257,-8,-2,-10,4,2,1,1,-2,-2.0,0.315,5.200000000000003,-7.299999999999997,12.4,0.8000000000000007,-0.029000000000000026,0.017000000000000015,0.014000000000000012,-0.009000000000000008,-3.0,0
0022301034,1610612738,Boston Celtics,BOS,0,0,1,8,-0.03400000000000003,-7,2,-0.21100000000000002,3,2,0.09600000000000009,-3,-3,-6,-9,2,5,-6,-2,-4.0,0.315,5.200000000000003,-7.299999999999997,12.4,0.8000000000000007,-0.029000000000000026,0.017000000000000015,0.014000000000000012,-0.009000000000000008,-3.0,0
0022301023,1610612738,Boston Celtics,BOS,1,0,-3,4,-0.06099999999999994,12,24,0.063,5,6,-0.027000000000000024,9,3,12,-8,-2,0,5,-9,22.0,0.30800000000000005,8.099999999999994,-3.9000000000000057,12.0,0.9000000000000021,0.0020000000000000018,0.0030000000000000027,0.018000000000000016,-0.0030000000000000027,1.0,0
0022301011,1610612738,Boston Celtics,BOS,1,0,5,6,0.02200000000000002,7,14,0.066,10,14,0.01200000000000001,0,-7,-7,6,5,4,-11,-8,54.0,0.605,12.700000000000003,-6.900000000000006,19.5,0.8000000000000007,0.0040000000000000036,-0.016000000000000014,0.009000000000000008,-0.031,-2.700000000000003,0
0022300998,1610612738,Boston Celtics,BOS,1,1,-5,1,-0.06500000000000006,1,5,-0.035999999999999976,12,15,-0.029000000000000026,2,-6,-4,5,3,-1,-5,-7,6.0,0.15100000000000002,3.5,-3.5,7.0,0.10000000000000142,0.033,-0.007000000000000006,0.017000000000000015,-0.0040000000000000036,-2.8999999999999915,0
0022300984,1610612738,Boston Celtics,BOS,1,1,7,11,0.02400000000000002,13,20,0.139,-2,-2,-0.02100000000000002,7,3,10,9,2,5,-3,-6,50.0,0.605,12.700000000000003,-6.900000000000006,19.5,0.8000000000000007,0.0040000000000000036,-0.016000000000000014,0.009000000000000008,-0.031,-2.700000000000003,0
