game_id,team_id,TEAM_NAME,TEAM_ABBREVIATION,WL,HOMEORAWAY,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS,W_PCT,E_OFF_RATING,E_DEF_RATING,E_NET_RATING,E_AST_RATIO,E_OREB_PCT,E_DREB_PCT,E_REB_PCT,E_TM_TOV_PCT,E_PACE,is_target_team,is_team1
0022300064,1610612754,Indiana Pacers,IND,1,1,56,107,0.523,20,43,0.465,11,12,0.917,10,41,51,38,10,8,12,23,23.0,0.554,117.5,115.9,1.5,20.9,0.235,0.741,0.487,0.125,104.3,1,0
0022301054,1610612741,Chicago Bulls,CHI,1,1,49,98,0.5,12,27,0.444,15,18,0.833,13,41,54,28,7,5,7,19,26.0,0.479,112.2,113.0,-0.8,18.2,0.248,0.76,0.499,0.121,98.7,0,0
0022300948,1610612741,Chicago Bulls,CHI,1,0,48,92,0.522,10,28,0.357,26,32,0.813,7,41,48,22,6,5,11,21,3.0,0.479,112.2,113.0,-0.8,18.2,0.248,0.76,0.499,0.121,98.7,0,0
0022300422,1610612741,Chicago Bulls,CHI,0,1,40,97,0.412,7,27,0.259,17,22,0.773,13,34,47,19,7,4,7,20,-16.0,0.479,112.2,113.0,-0.8,18.2,0.248,0.76,0.499,0.121,98.7,0,0
0022300102,1610612741,Chicago Bulls,CHI,1,0,40,87,0.46,6,17,0.353,26,31,0.839,10,34,44,19,8,6,13,17,7.0,0.479,112.2,113.0,-0.8,18.2,0.248,0.76,0.499,0.121,98.7,0,0
0022301043,1610612746,LA Clippers,LAC,0,1,46,85,0.541,6,20,0.3,18,22,0.818,11,25,36,26,4,4,8,19,-17.0,0.625,117.0,113.1,3.9,18.9,0.243,0.746,0.503,0.131,99.5,0,0
0022300350,1610612746,LA Clippers,LAC,1,0,56,98,0.571,19,38,0.5,20,23,0.87,14,32,46,26,4,9,11,19,24.0,0.625,117.0,113.1,3.9,18.9,0.243,0.746,0.503,0.131,99.5,0,0
0022301032,1610612747,Los Angeles Lakers,LAL,1,1,50,89,0.562,12,25,0.48,38,43,0.884,8,33,41,28,6,7,10,14,5.0,0.562,113.7,113.1,0.6,20.2,0.196,0.758,0.492,0.132,103.0,0,0
0022301016,1610612744,Golden State Warriors,GSW,0,1,43,106,0.406,14,48,0.292,11,16,0.688,24,40,64,24,6,6,14,15,-12.0,0.528,114.5,113.0,1.5,19.9,0.276,0.76,0.52,0.137,102.1,0,0
0022300733,1610612744,Golden State Warriors,GSW,1,0,52,93,0.559,17,32,0.531,10,13,0.769,10,39,49,33,7,7,17,22,22.0,0.528,114.5,113.0,1.5,19.9,0.276,0.76,0.52,0.137,102.1,0,0
0022300997,1610612765,Detroit Pistons,DET,0,1,37,90,0.411,5,23,0.217,24,30,0.8,12,34,46,23,8,1,15,14,-19.0,0.164,107.8,116.6,-8.8,18.4,0.246,0.778,0.508,0.15,102.4,0,0
0022300793,1610612765,Detroit Pistons,DET,0,0,47,89,0.528,12,30,0.4,9,18,0.5,6,35,41,27,6,4,15,21,-14.0,0.164,107.8,116.6,-8.8,18.4,0.246,0.778,0.508,0.15,102.4,0,0
0022300293,1610612765,Detroit Pistons,DET,0,1,45,81,0.556,10,29,0.345,23,30,0.767,6,24,30,26,11,4,14,18,-8.0,0.164,107.8,116.6,-8.8,18.4,0.246,0.778,0.508,0.15,102.4,0,0
0022300047,1610612765,Detroit Pistons,DET,0,0,43,90,0.478,7,18,0.389,20,24,0.833,14,29,43,22,6,11,14,18,-23.0,0.164,107.8,116.6,-8.8,18.4,0.246,0.778,0.508,0.15,102.4,0,0
0022300983,1610612739,Cleveland Cavaliers,CLE,1,0,38,80,0.475,12,32,0.375,20,28,0.714,9,30,39,27,8,4,14,18,5.0,0.603,113.0,109.0,4.0,20.1,0.235,0.77,0.507,0.135,99.3,0,0
