2024-03-08 10:48:01,931 - active_players - INFO - Inserted and updated for player: {'full_name': 'Nic Claxton', 'id': 1629651}
2024-03-08 10:48:01,975 - active_players - INFO - Inserted and updated for player: {'full_name': 'Noah Clowney', 'id': 1641730}
2024-03-08 10:48:02,015 - active_players - INFO - Inserted and updated for player: {'full_name': 'Amir Coffey', 'id': 1629599}
2024-03-08 10:48:02,059 - active_players - INFO - Inserted and updated for player: {'full_name': 'John Collins', 'id': 1628381}
2024-03-08 10:48:02,105 - active_players - INFO - Inserted and updated for player: {'full_name': 'Zach Collins', 'id': 1628380}
2024-03-08 10:48:02,147 - active_players - INFO - Inserted and updated for player: {'full_name': 'Mike Conley', 'id': 201144}
2024-03-08 10:48:02,194 - active_players - INFO - Inserted and updated for player: {'full_name': 'Pat Connaughton', 'id': 1626192}
2024-03-08 10:48:02,236 - active_players - INFO - Inserted and updated for player: {'full_name': 'Bilal Coulibaly', 'id': 1641731}
2024-03-08 10:48:02,275 - active_players - INFO - Inserted and updated for player: {'full_name': 'Ricky Council IV', 'id': 1641741}
2024-03-08 10:48:02,315 - active_players - INFO - Inserted and updated for player: {'full_name': 'Robert Covington', 'id': 203496}
2024-03-08 10:48:02,355 - active_players - INFO - Inserted and updated for player: {'full_name': 'Torrey Craig', 'id': 1628470}
2024-03-08 10:48:02,436 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jae Crowder', 'id': 203109}
2024-03-08 10:48:02,494 - active_players - INFO - Inserted and updated for player: {'full_name': 'Cade Cunningham', 'id': 1630595}
2024-03-08 10:48:02,538 - active_players - INFO - Inserted and updated for player: {'full_name': 'Seth Curry', 'id': 203552}
2024-03-08 10:48:02,581 - active_players - INFO - Inserted and updated for player: {'full_name': 'Stephen Curry', 'id': 201939}
2024-03-08 10:48:02,627 - active_players - INFO - Inserted and updated for player: {'full_name': 'Dyson Daniels', 'id': 1630700}
2024-03-08 10:48:02,680 - active_players - INFO - Inserted and updated for player: {'full_name': 'Anthony Davis', 'id': 203076}
2024-03-08 10:48:02,723 - active_players - INFO - Inserted and updated for player: {'full_name': 'Johnny Davis', 'id': 1631098}
2024-03-08 10:48:02,767 - active_players - INFO - Inserted and updated for player: {'full_name': 'JD Davison', 'id': 1631120}
2024-03-08 10:48:02,807 - active_players - INFO - Inserted and updated for player: {'full_name': 'DeMar DeRozan', 'id': 201942}
2024-03-08 10:48:02,852 - active_players - INFO - Inserted and updated for player: {'full_name': 'Dexter Dennis', 'id': 1641926}
2024-03-08 10:48:02,897 - active_players - INFO - Inserted and updated for player: {'full_name': 'Donte DiVincenzo', 'id': 1628978}
2024-03-08 10:48:02,940 - active_players - INFO - Inserted and updated for player: {'full_name': 'Moussa Diabate', 'id': 1631217}
2024-03-08 10:48:02,988 - active_players - INFO - Inserted and updated for player: {'full_name': 'Gradey Dick', 'id': 1641711}
2024-03-08 10:48:03,030 - active_players - INFO - Inserted and updated for player: {'full_name': 'Ousmane Dieng', 'id': 1631172}
2024-03-08 10:48:03,076 - active_players - INFO - Inserted and updated for player: {'full_name': 'Spencer Dinwiddie', 'id': 203915}
2024-03-08 10:48:03,116 - active_players - INFO - Inserted and updated for player: {'full_name': 'Luka Doncic', 'id': 1629029}
2024-03-08 10:48:03,156 - active_players - INFO - Inserted and updated for player: {'full_name': 'Luguentz Dort', 'id': 1629652}
2024-03-08 10:48:03,195 - active_players - INFO - Inserted and updated for player: {'full_name': 'Ayo Dosunmu', 'id': 1630245}
2024-03-08 10:48:03,235 - active_players - INFO - Inserted and updated for player: {'full_name': 'Andre Drummond', 'id': 203083}
2024-03-08 10:48:03,275 - active_players - INFO - Inserted and updated for player: {'full_name': 'Chris Duarte', 'id': 1630537}
2024-03-08 10:48:03,325 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kris Dunn', 'id': 1627739}
2024-03-08 10:48:03,367 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kevin Durant', 'id': 201142}
2024-03-08 10:48:03,412 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jalen Duren', 'id': 1631105}
2024-03-08 10:48:03,459 - active_players - INFO - Inserted and updated for player: {'full_name': 'Tari Eason', 'id': 1631106}
2024-03-08 10:48:03,501 - active_players - INFO - Inserted and updated for player: {'full_name': 'Anthony Edwards', 'id': 1630162}
2024-03-08 10:48:03,557 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kessler Edwards', 'id': 1630556}
2024-03-08 10:48:03,600 - active_players - INFO - Inserted and updated for player: {'full_name': 'Keon Ellis', 'id': 1631165}
2024-03-08 10:48:03,644 - active_players - INFO - Inserted and updated for player: {'full_name': 'Joel Embiid', 'id': 203954}
2024-03-08 10:48:03,691 - active_players - INFO - Inserted and updated for player: {'full_name': 'Drew Eubanks', 'id': 1629234}
2024-03-08 10:48:03,734 - active_players - INFO - Inserted and updated for player: {'full_name': 'Dante Exum', 'id': 203957}
2024-03-08 10:48:03,776 - active_players - INFO - Inserted and updated for player: {'full_name': 'Bruno Fernando', 'id': 1628981}
2024-03-08 10:48:03,823 - active_players - INFO - Inserted and updated for player: {'full_name': 'Dorian Finney-Smith', 'id': 1627827}
2024-03-08 10:48:03,869 - active_players - INFO - Inserted and updated for player: {'full_name': 'Malachi Flynn', 'id': 1630201}
2024-03-08 10:48:03,912 - active_players - INFO - Inserted and updated for player: {'full_name': 'Simone Fontecchio', 'id': 1631323}
2024-03-08 10:48:03,961 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jordan Ford', 'id': 1630259}
2024-03-08 10:48:04,004 - active_players - INFO - Inserted and updated for player: {'full_name': 'Trent Forrest', 'id': 1630235}
2024-03-08 10:48:04,057 - active_players - INFO - Inserted and updated for player: {'full_name': 'Evan Fournier', 'id': 203095}
2024-03-08 10:48:04,096 - active_players - INFO - Inserted and updated for player: {'full_name': "De'Aaron Fox", 'id': 1628368}
2024-03-08 10:48:04,140 - active_players - INFO - Inserted and updated for player: {'full_name': 'Javon Freeman-Liberty', 'id': 1631241}
2024-03-08 10:48:04,182 - active_players - INFO - Inserted and updated for player: {'full_name': 'Alex Fudge', 'id': 1641788}
2024-03-08 10:48:04,228 - active_players - INFO - Inserted and updated for player: {'full_name': 'Markelle Fultz', 'id': 1628365}
2024-03-08 10:48:04,273 - active_players - INFO - Inserted and updated for player: {'full_name': 'Daniel Gafford', 'id': 1629655}
2024-03-08 10:48:04,323 - active_players - INFO - Inserted and updated for player: {'full_name': 'Danilo Gallinari', 'id': 201568}
2024-03-08 10:48:04,368 - active_players - INFO - Inserted and updated for player: {'full_name': 'Darius Garland', 'id': 1629636}
2024-03-08 10:48:04,448 - active_players - INFO - Inserted and updated for player: {'full_name': 'Usman Garuba', 'id': 1630586}
2024-03-08 10:48:04,494 - active_players - INFO - Inserted and updated for player: {'full_name': 'Luka Garza', 'id': 1630568}
2024-03-08 10:48:04,536 - active_players - INFO - Inserted and updated for player: {'full_name': 'Kaiser Gates', 'id': 1629232}
2024-03-08 10:48:04,579 - active_players - INFO - Inserted and updated for player: {'full_name': 'Keyonte George', 'id': 1641718}
2024-03-08 10:48:04,635 - active_players - INFO - Inserted and updated for player: {'full_name': 'Paul George', 'id': 202331}
2024-03-08 10:48:04,676 - active_players - INFO - Inserted and updated for player: {'full_name': 'Josh Giddey', 'id': 1630581}
2024-03-08 10:48:04,718 - active_players - INFO - Inserted and updated for player: {'full_name': 'Harry Giles III', 'id': 1628385}
2024-03-08 10:48:04,759 - active_players - INFO - Inserted and updated for player: {'full_name': 'Shai Gilgeous-Alexander', 'id': 1628983}
2024-03-08 10:48:04,800 - active_players - INFO - Inserted and updated for player: {'full_name': 'Anthony Gill', 'id': 1630264}
2024-03-08 10:48:04,840 - active_players - INFO - Inserted and updated for player: {'full_name': 'Collin Gillespie', 'id': 1631221}
2024-03-08 10:48:04,888 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jacob Gilyard', 'id': 1631367}
2024-03-08 10:48:04,927 - active_players - INFO - Inserted and updated for player: {'full_name': 'Rudy Gobert', 'id': 203497}
2024-03-08 10:48:04,984 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jordan Goodwin', 'id': 1630692}
2024-03-08 10:48:05,023 - active_players - INFO - Inserted and updated for player: {'full_name': 'Aaron Gordon', 'id': 203932}
2024-03-08 10:48:05,069 - active_players - INFO - Inserted and updated for player: {'full_name': 'Eric Gordon', 'id': 201569}
2024-03-08 10:48:05,124 - active_players - INFO - Inserted and updated for player: {'full_name': "Devonte' Graham", 'id': 1628984}
2024-03-08 10:48:05,168 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jerami Grant', 'id': 203924}
2024-03-08 10:48:05,208 - active_players - INFO - Inserted and updated for player: {'full_name': 'AJ Green', 'id': 1631260}
2024-03-08 10:48:05,247 - active_players - INFO - Inserted and updated for player: {'full_name': 'Danny Green', 'id': 201980}
2024-03-08 10:48:05,288 - active_players - INFO - Inserted and updated for player: {'full_name': 'Draymond Green', 'id': 203110}
2024-03-08 10:48:05,328 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jalen Green', 'id': 1630224}
2024-03-08 10:48:05,368 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jeff Green', 'id': 201145}
2024-03-08 10:48:05,408 - active_players - INFO - Inserted and updated for player: {'full_name': 'Josh Green', 'id': 1630182}
2024-03-08 10:48:05,457 - active_players - INFO - Inserted and updated for player: {'full_name': 'AJ Griffin', 'id': 1631100}
2024-03-08 10:48:05,500 - active_players - INFO - Inserted and updated for player: {'full_name': 'Quentin Grimes', 'id': 1629656}
2024-03-08 10:48:05,544 - active_players - INFO - Inserted and updated for player: {'full_name': 'Mouhamed Gueye', 'id': 1631243}
2024-03-08 10:48:05,587 - active_players - INFO - Inserted and updated for player: {'full_name': 'Rui Hachimura', 'id': 1629060}
2024-03-08 10:48:05,627 - active_players - INFO - Inserted and updated for player: {'full_name': 'Tyrese Haliburton', 'id': 1630169}
2024-03-08 10:48:05,679 - active_players - INFO - Inserted and updated for player: {'full_name': 'R.J. Hampton', 'id': 1630181}
2024-03-08 10:48:05,720 - active_players - INFO - Inserted and updated for player: {'full_name': 'Tim Hardaway Jr.', 'id': 203501}
2024-03-08 10:48:05,763 - active_players - INFO - Inserted and updated for player: {'full_name': 'James Harden', 'id': 201935}
2024-03-08 10:48:05,809 - active_players - INFO - Inserted and updated for player: {'full_name': 'Jaden Hardy', 'id': 1630702}
